amount,due_date,paid_date,status,tenant_profile_id,suite_id
1000,3274-11-18,,DUE,15216,15316
1200,3274-12-18,,DUE,15217,15317
1500,3275-01-17,3275-01-19,PAID,15218,15318
1000,3275-02-16,3275-02-20,PAID,15219,15319
1500,3275-03-18,,DUE,15220,15320
1000,3275-04-17,,DUE,15221,15321
1200,3275-05-17,,DUE,15222,15322
1000,3275-06-16,3275-06-21,PAID,15223,15323
1200,3275-07-16,,DUE,15224,15324
1500,3275-08-15,3275-08-24,PAID,15225,15325
1000,3275-09-14,3275-09-24,PAID,15226,15326
1500,3275-10-14,3275-10-22,PAID,15227,15327
1000,3275-11-13,3275-11-15,PAID,15228,15328
1500,3275-12-13,,DUE,15229,15329
1000,3276-01-12,,DUE,15230,15330
1200,3276-02-11,3276-02-12,PAID,15231,15331
1200,3276-03-12,3276-03-14,PAID,15232,15332
1500,3276-04-11,,DUE,15233,15333
1500,3276-05-11,3276-05-13,PAID,15234,15334
1000,3276-06-10,3276-06-19,PAID,15235,15335
1500,3276-07-10,,DUE,15236,15336
1200,3276-08-09,,DUE,15237,15337
1000,3276-09-08,3276-09-09,PAID,15238,15338
1500,3276-10-08,3276-10-09,PAID,15239,15339
1500,3276-11-07,3276-11-14,PAID,15240,15340
1200,3276-12-07,,DUE,15241,15341
1500,3277-01-06,,DUE,15242,15342
1200,3277-02-05,,DUE,15243,15343
1500,3277-03-07,3277-03-15,PAID,15244,15344
1500,3277-04-06,3277-04-08,PAID,15245,15345
1000,3277-05-06,3277-05-07,PAID,15246,15346
1000,3277-06-05,,DUE,15247,15347
1000,3277-07-05,3277-07-14,PAID,15248,15348
1200,3277-08-04,,DUE,15249,15349
1200,3277-09-03,,DUE,15250,15350
1000,3277-10-03,,DUE,15251,15351
1000,3277-11-02,,DUE,15252,15352
1500,3277-12-02,,DUE,15253,15353
1200,3278-01-01,3278-01-07,PAID,15254,15354
1000,3278-01-31,,DUE,15255,15355
1500,3278-03-02,,DUE,15256,15356
1500,3278-04-01,,DUE,15257,15357
1500,3278-05-01,3278-05-05,PAID,15258,15358
1000,3278-05-31,,DUE,15259,15359
1500,3278-06-30,,DUE,15260,15360
1200,3278-07-30,3278-08-06,PAID,15261,15361
1000,3278-08-29,,DUE,15262,15362
1500,3278-09-28,,DUE,15263,15363
1500,3278-10-28,3278-10-30,PAID,15264,15364
1500,3278-11-27,3278-12-01,PAID,15265,15365
1200,3278-12-27,,DUE,15266,15366
1200,3279-01-26,,DUE,15267,15367
1500,3279-02-25,3279-02-26,PAID,15268,15368
1000,3279-03-27,3279-04-02,PAID,15269,15369
1000,3279-04-26,,DUE,15270,15370
1000,3279-05-26,3279-05-30,PAID,15271,15371
1500,3279-06-25,,DUE,15272,15372
1000,3279-07-25,3279-07-26,PAID,15273,15373
1000,3279-08-24,3279-08-30,PAID,15274,15374
1200,3279-09-23,,DUE,15275,15375
1200,3279-10-23,,DUE,15276,15376
1000,3279-11-22,3279-11-29,PAID,15277,15377
1200,3279-12-22,3279-12-24,PAID,15278,15378
1000,3280-01-21,3280-01-31,PAID,15279,15379
1500,3280-02-20,3280-02-21,PAID,15280,15380
1500,3280-03-21,,DUE,15281,15381
1500,3280-04-20,3280-04-29,PAID,15282,15382
1200,3280-05-20,,DUE,15283,15383
1000,3280-06-19,3280-06-23,PAID,15284,15384
1000,3280-07-19,,DUE,15285,15385
1500,3280-08-18,,DUE,15286,15386
1200,3280-09-17,3280-09-18,PAID,15287,15387
1200,3280-10-17,3280-10-18,PAID,15288,15388
1200,3280-11-16,3280-11-23,PAID,15289,15389
1000,3280-12-16,,DUE,15290,15390
1200,3281-01-15,,DUE,15291,15391
1500,3281-02-14,,DUE,15292,15392
1500,3281-03-16,3281-03-23,PAID,15293,15393
1000,3281-04-15,3281-04-22,PAID,15294,15394
1000,3281-05-15,,DUE,15295,15395
1000,3281-06-14,,DUE,15296,15396
1500,3281-07-14,,DUE,15297,15397
1500,3281-08-13,,DUE,15298,15398
1000,3281-09-12,3281-09-20,PAID,15299,15399
1500,3281-10-12,3281-10-17,PAID,15300,15400
1000,3281-11-11,,DUE,15301,15401
1000,3281-12-11,,DUE,15302,15402
1000,3282-01-10,3282-01-17,PAID,15303,15403
1200,3282-02-09,3282-02-17,PAID,15304,15404
1200,3282-03-11,,DUE,15305,15405
1200,3282-04-10,,DUE,15306,15406
1200,3282-05-10,3282-05-15,PAID,15307,15407
1500,3282-06-09,3282-06-15,PAID,15308,15408
1200,3282-07-09,,DUE,15309,15409
1000,3282-08-08,,DUE,15310,15410
1200,3282-09-07,3282-09-09,PAID,15311,15411
1000,3282-10-07,3282-10-12,PAID,15312,15412
1500,3282-11-06,,DUE,15313,15413
1000,3282-12-06,3282-12-09,PAID,15314,15414
1200,3283-01-05,,DUE,15315,15415
1500,3283-02-04,,DUE,15316,15416
1000,3283-03-06,3283-03-12,PAID,15317,15417
1000,3283-04-05,3283-04-08,PAID,15318,15418
1200,3283-05-05,,DUE,15319,15419
1500,3283-06-04,,DUE,15320,15420
1500,3283-07-04,,DUE,15321,15421
1000,3283-08-03,,DUE,15322,15422
1000,3283-09-02,,DUE,15323,15423
1200,3283-10-02,3283-10-06,PAID,15324,15424
1000,3283-11-01,,DUE,15325,15425
1200,3283-12-01,,DUE,15326,15426
1500,3283-12-31,,DUE,15327,15427
1200,3284-01-30,3284-02-09,PAID,15328,15428
1500,3284-02-29,,DUE,15329,15429
1000,3284-03-30,3284-04-04,PAID,15330,15430
1200,3284-04-29,3284-05-02,PAID,15331,15431
1200,3284-05-29,3284-06-01,PAID,15332,15432
1200,3284-06-28,,DUE,15333,15433
1000,3284-07-28,3284-07-30,PAID,15334,15434
1500,3284-08-27,,DUE,15335,15435
1000,3284-09-26,,DUE,15336,15436
1000,3284-10-26,,DUE,15337,15437
1000,3284-11-25,3284-12-02,PAID,15338,15438
1200,3284-12-25,,DUE,15339,15439
1000,3285-01-24,3285-02-01,PAID,15340,15440
1200,3285-02-23,,DUE,15341,15441
1000,3285-03-25,,DUE,15342,15442
1000,3285-04-24,3285-05-03,PAID,15343,15443
1000,3285-05-24,3285-05-30,PAID,15344,15444
1000,3285-06-23,,DUE,15345,15445
1500,3285-07-23,3285-08-02,PAID,15346,15446
1200,3285-08-22,,DUE,15347,15447
1000,3285-09-21,3285-10-01,PAID,15348,15448
1500,3285-10-21,3285-10-26,PAID,15349,15449
1500,3285-11-20,3285-11-27,PAID,15350,15450
1000,3285-12-20,3285-12-24,PAID,15351,15451
1500,3286-01-19,,DUE,15352,15452
1200,3286-02-18,,DUE,15353,15453
1500,3286-03-20,,DUE,15354,15454
1200,3286-04-19,3286-04-20,PAID,15355,15455
1500,3286-05-19,,DUE,15356,15456
1000,3286-06-18,,DUE,15357,15457
1500,3286-07-18,3286-07-28,PAID,15358,15458
1200,3286-08-17,3286-08-27,PAID,15359,15459
1500,3286-09-16,,DUE,15360,15460
1200,3286-10-16,3286-10-23,PAID,15361,15461
1000,3286-11-15,3286-11-25,PAID,15362,15462
1000,3286-12-15,,DUE,15363,15463
1000,3287-01-14,,DUE,15364,15464
1000,3287-02-13,,DUE,15365,15465
1200,3287-03-15,,DUE,15366,15466
1000,3287-04-14,,DUE,15367,15467
1000,3287-05-14,3287-05-22,PAID,15368,15468
1200,3287-06-13,3287-06-21,PAID,15369,15469
1500,3287-07-13,,DUE,15370,15470
1000,3287-08-12,,DUE,15371,15471
1200,3287-09-11,,DUE,15372,15472
1200,3287-10-11,3287-10-18,PAID,15373,15473
1500,3287-11-10,,DUE,15374,15474
1200,3287-12-10,3287-12-16,PAID,15375,15475
1500,3288-01-09,3288-01-19,PAID,15376,15476
1000,3288-02-08,3288-02-10,PAID,15377,15477
1200,3288-03-09,,DUE,15378,15478
1000,3288-04-08,,DUE,15379,15479
1200,3288-05-08,3288-05-13,PAID,15380,15480
1200,3288-06-07,,DUE,15381,15481
1500,3288-07-07,,DUE,15382,15482
1200,3288-08-06,,DUE,15383,15483
1500,3288-09-05,,DUE,15384,15484
1200,3288-10-05,,DUE,15385,15485
1500,3288-11-04,3288-11-09,PAID,15386,15486
1500,3288-12-04,,DUE,15387,15487
1000,3289-01-03,,DUE,15388,15488
1000,3289-02-02,,DUE,15389,15489
1500,3289-03-04,,DUE,15390,15490
1000,3289-04-03,3289-04-12,PAID,15391,15491
1500,3289-05-03,3289-05-10,PAID,15392,15492
1200,3289-06-02,3289-06-06,PAID,15393,15493
1200,3289-07-02,,DUE,15394,15494
1000,3289-08-01,,DUE,15395,15495
1000,3289-08-31,3289-09-01,PAID,15396,15496
1200,3289-09-30,3289-10-07,PAID,15397,15497
1200,3289-10-30,,DUE,15398,15498
1500,3289-11-29,,DUE,15399,15499
1000,3289-12-29,3290-01-07,PAID,15400,15500
1200,3290-01-28,3290-02-05,PAID,15401,15501
1000,3290-02-27,3290-03-03,PAID,15402,15502
1200,3290-03-29,,DUE,15403,15503
1200,3290-04-28,3290-05-01,PAID,15404,15504
1500,3290-05-28,,DUE,15405,15505
1500,3290-06-27,,DUE,15406,15506
1200,3290-07-27,,DUE,15407,15507
1500,3290-08-26,,DUE,15408,15508
1500,3290-09-25,3290-10-04,PAID,15409,15509
1200,3290-10-25,,DUE,15410,15510
1500,3290-11-24,,DUE,15411,15511
1200,3290-12-24,3290-12-25,PAID,15412,15512
1000,3291-01-23,3291-01-31,PAID,15413,15513
1500,3291-02-22,,DUE,15414,15514
1000,3291-03-24,3291-03-25,PAID,15415,15515
1000,3291-04-23,,DUE,15416,15516
1200,3291-05-23,,DUE,15417,15517
1200,3291-06-22,,DUE,15418,15518
1200,3291-07-22,,DUE,15419,15519
1500,3291-08-21,,DUE,15420,15520
1200,3291-09-20,3291-09-30,PAID,15421,15521
1500,3291-10-20,,DUE,15422,15522
1000,3291-11-19,3291-11-25,PAID,15423,15523
1200,3291-12-19,3291-12-22,PAID,15424,15524
1500,3292-01-18,3292-01-25,PAID,15425,15525
1200,3292-02-17,,DUE,15426,15526
1200,3292-03-18,,DUE,15427,15527
1500,3292-04-17,3292-04-24,PAID,15428,15528
1500,3292-05-17,,DUE,15429,15529
1500,3292-06-16,,DUE,15430,15530
1200,3292-07-16,3292-07-22,PAID,15431,15531
1500,3292-08-15,,DUE,15432,15532
1000,3292-09-14,3292-09-24,PAID,15433,15533
1200,3292-10-14,3292-10-19,PAID,15434,15534
1200,3292-11-13,3292-11-15,PAID,15435,15535
1200,3292-12-13,,DUE,15436,15536
1500,3293-01-12,3293-01-16,PAID,15437,15537
1500,3293-02-11,,DUE,15438,15538
1000,3293-03-13,,DUE,15439,15539
1000,3293-04-12,,DUE,15440,15540
1000,3293-05-12,,DUE,15441,15541
1200,3293-06-11,,DUE,15442,15542
1500,3293-07-11,,DUE,15443,15543
1000,3293-08-10,3293-08-18,PAID,15444,15544
1000,3293-09-09,,DUE,15445,15545
1500,3293-10-09,3293-10-15,PAID,15446,15546
1000,3293-11-08,,DUE,15447,15547
1200,3293-12-08,3293-12-13,PAID,15448,15548
1200,3294-01-07,,DUE,15449,15549
1200,3294-02-06,,DUE,15450,15550
1500,3294-03-08,,DUE,15451,15551
1200,3294-04-07,,DUE,15452,15552
1000,3294-05-07,,DUE,15453,15553
1200,3294-06-06,,DUE,15454,15554
1200,3294-07-06,,DUE,15455,15555
1000,3294-08-05,,DUE,15456,15556
1500,3294-09-04,3294-09-05,PAID,15457,15557
1000,3294-10-04,3294-10-05,PAID,15458,15558
1200,3294-11-03,3294-11-13,PAID,15459,15559
1500,3294-12-03,,DUE,15460,15560
1500,3295-01-02,3295-01-10,PAID,15461,15561
1000,3295-02-01,,DUE,15462,15562
1200,3295-03-03,,DUE,15463,15563
1000,3295-04-02,3295-04-07,PAID,15464,15564
1500,3295-05-02,,DUE,15465,15565
1200,3295-06-01,,DUE,15466,15566
1500,3295-07-01,3295-07-11,PAID,15467,15567
1000,3295-07-31,3295-08-10,PAID,15468,15568
1000,3295-08-30,3295-09-05,PAID,15469,15569
1500,3295-09-29,,DUE,15470,15570
1200,3295-10-29,,DUE,15471,15571
1500,3295-11-28,,DUE,15472,15572
1000,3295-12-28,3296-01-01,PAID,15473,15573
1500,3296-01-27,,DUE,15474,15574
1000,3296-02-26,,DUE,15475,15575
1000,3296-03-27,,DUE,15476,15576
1000,3296-04-26,,DUE,15477,15577
1200,3296-05-26,,DUE,15478,15578
1200,3296-06-25,3296-06-27,PAID,15479,15579
1000,3296-07-25,,DUE,15480,15580
1200,3296-08-24,3296-08-25,PAID,15481,15581
1000,3296-09-23,3296-10-02,PAID,15482,15582
1000,3296-10-23,3296-11-02,PAID,15483,15583
1500,3296-11-22,3296-11-28,PAID,15484,15584
1200,3296-12-22,3296-12-29,PAID,15485,15585
1000,3297-01-21,3297-01-27,PAID,15486,15586
1200,3297-02-20,3297-02-26,PAID,15487,15587
1500,3297-03-22,,DUE,15488,15588
1000,3297-04-21,,DUE,15489,15589
1500,3297-05-21,,DUE,15490,15590
1000,3297-06-20,3297-06-23,PAID,15491,15591
1200,3297-07-20,3297-07-24,PAID,15492,15592
1200,3297-08-19,,DUE,15493,15593
1200,3297-09-18,3297-09-25,PAID,15494,15594
1500,3297-10-18,3297-10-24,PAID,15495,15595
1500,3297-11-17,,DUE,15496,15596
1200,3297-12-17,3297-12-18,PAID,15497,15597
1500,3298-01-16,,DUE,15498,15598
1200,3298-02-15,,DUE,15499,15599
1200,3298-03-17,3298-03-25,PAID,15500,15600
1000,3298-04-16,,DUE,15501,15601
1000,3298-05-16,3298-05-24,PAID,15502,15602
1500,3298-06-15,3298-06-23,PAID,15503,15603
1000,3298-07-15,3298-07-18,PAID,15504,15604
1000,3298-08-14,,DUE,15505,15605
1200,3298-09-13,3298-09-18,PAID,15506,15606
1000,3298-10-13,3298-10-19,PAID,15507,15607
1500,3298-11-12,3298-11-17,PAID,15508,15608
1200,3298-12-12,3298-12-22,PAID,15509,15609
1200,3299-01-11,3299-01-19,PAID,15510,15610
1200,3299-02-10,,DUE,15511,15611
1000,3299-03-12,3299-03-17,PAID,15512,15612
1000,3299-04-11,3299-04-14,PAID,15513,15613
1500,3299-05-11,,DUE,15514,15614
1000,3299-06-10,3299-06-14,PAID,15515,15615
1200,3299-07-10,,DUE,15516,15616
1000,3299-08-09,,DUE,15517,15617
1200,3299-09-08,,DUE,15518,15618
1000,3299-10-08,,DUE,15519,15619
1500,3299-11-07,,DUE,15520,15620
1500,3299-12-07,3299-12-17,PAID,15521,15621
1500,3300-01-06,,DUE,15522,15622
1000,3300-02-05,,DUE,15523,15623
1000,3300-03-07,,DUE,15524,15624
1500,3300-04-06,,DUE,15525,15625
1500,3300-05-06,,DUE,15526,15626
1200,3300-06-05,,DUE,15527,15627
1200,3300-07-05,3300-07-07,PAID,15528,15628
1500,3300-08-04,,DUE,15529,15629
1000,3300-09-03,,DUE,15530,15630
1000,3300-10-03,3300-10-11,PAID,15531,15631
1000,3300-11-02,3300-11-07,PAID,15532,15632
1000,3300-12-02,,DUE,15533,15633
1000,3301-01-01,3301-01-07,PAID,15534,15634
1000,3301-01-31,3301-02-01,PAID,15535,15635
1200,3301-03-02,3301-03-06,PAID,15536,15636
1500,3301-04-01,3301-04-04,PAID,15537,15637
1500,3301-05-01,,DUE,15538,15638
1200,3301-05-31,3301-06-05,PAID,15539,15639
1500,3301-06-30,,DUE,15540,15640
1200,3301-07-30,,DUE,15541,15641
1000,3301-08-29,,DUE,15542,15642
1200,3301-09-28,3301-10-01,PAID,15543,15643
1200,3301-10-28,3301-11-05,PAID,15544,15644
1000,3301-11-27,3301-12-02,PAID,15545,15645
1200,3301-12-27,3302-01-03,PAID,15546,15646
1000,3302-01-26,3302-01-31,PAID,15547,15647
1500,3302-02-25,,DUE,15548,15648
1000,3302-03-27,,DUE,15549,15649
1500,3302-04-26,,DUE,15550,15650
1200,3302-05-26,3302-05-30,PAID,15551,15651
1200,3302-06-25,,DUE,15552,15652
1500,3302-07-25,,DUE,15553,15653
1500,3302-08-24,3302-09-01,PAID,15554,15654
1200,3302-09-23,3302-09-26,PAID,15555,15655
1500,3302-10-23,,DUE,15556,15656
1000,3302-11-22,,DUE,15557,15657
1000,3302-12-22,,DUE,15558,15658
1500,3303-01-21,,DUE,15559,15659
1500,3303-02-20,3303-02-28,PAID,15560,15660
1000,3303-03-22,,DUE,15561,15661
1000,3303-04-21,3303-04-30,PAID,15562,15662
1200,3303-05-21,,DUE,15563,15663
1500,3303-06-20,,DUE,15564,15664
1200,3303-07-20,,DUE,15565,15665
1200,3303-08-19,,DUE,15566,15666
1000,3303-09-18,,DUE,15567,15667
1000,3303-10-18,3303-10-23,PAID,15568,15668
1200,3303-11-17,3303-11-21,PAID,15569,15669
1500,3303-12-17,,DUE,15570,15670
1500,3304-01-16,3304-01-18,PAID,15571,15671
1500,3304-02-15,3304-02-19,PAID,15572,15672
1500,3304-03-16,3304-03-22,PAID,15573,15673
1000,3304-04-15,3304-04-22,PAID,15574,15674
1000,3304-05-15,,DUE,15575,15675
1000,3304-06-14,3304-06-21,PAID,15576,15676
1000,3304-07-14,,DUE,15577,15677
1000,3304-08-13,,DUE,15578,15678
1000,3304-09-12,3304-09-21,PAID,15579,15679
1200,3304-10-12,,DUE,15580,15680
1500,3304-11-11,,DUE,15581,15681
1200,3304-12-11,,DUE,15582,15682
1500,3305-01-10,,DUE,15583,15683
1000,3305-02-09,3305-02-15,PAID,15584,15684
1000,3305-03-11,3305-03-19,PAID,15585,15685
1200,3305-04-10,3305-04-18,PAID,15586,15686
1200,3305-05-10,3305-05-17,PAID,15587,15687
1000,3305-06-09,,DUE,15588,15688
1000,3305-07-09,,DUE,15589,15689
1500,3305-08-08,3305-08-11,PAID,15590,15690
1200,3305-09-07,,DUE,15591,15691
1000,3305-10-07,,DUE,15592,15692
1200,3305-11-06,,DUE,15593,15693
1000,3305-12-06,,DUE,15594,15694
1000,3306-01-05,,DUE,15595,15695
1000,3306-02-04,,DUE,15596,15696
1200,3306-03-06,,DUE,15597,15697
1000,3306-04-05,,DUE,15598,15698
1500,3306-05-05,,DUE,15599,15699
1500,3306-06-04,,DUE,15600,15700
1000,3306-07-04,3306-07-13,PAID,15601,15701
1200,3306-08-03,3306-08-05,PAID,15602,15702
1000,3306-09-02,,DUE,15603,15703
1000,3306-10-02,3306-10-08,PAID,15604,15704
1000,3306-11-01,3306-11-03,PAID,15605,15705
1200,3306-12-01,,DUE,15606,15706
1200,3306-12-31,,DUE,15607,15707
1000,3307-01-30,,DUE,15608,15708
1000,3307-03-01,3307-03-08,PAID,15609,15709
1500,3307-03-31,,DUE,15610,15710
1500,3307-04-30,3307-05-05,PAID,15611,15711
1000,3307-05-30,,DUE,15612,15712
1500,3307-06-29,3307-07-05,PAID,15613,15713
1200,3307-07-29,,DUE,15614,15714
1000,3307-08-28,3307-08-30,PAID,15615,15715
1200,3307-09-27,3307-09-29,PAID,15616,15716
1000,3307-10-27,3307-10-29,PAID,15617,15717
1000,3307-11-26,3307-12-02,PAID,15618,15718
1200,3307-12-26,3307-12-29,PAID,15619,15719
1200,3308-01-25,3308-01-29,PAID,15620,15720
1000,3308-02-24,,DUE,15621,15721
1000,3308-03-25,,DUE,15622,15722
1000,3308-04-24,,DUE,15623,15723
1500,3308-05-24,,DUE,15624,15724
1200,3308-06-23,3308-06-29,PAID,15625,15725
1500,3308-07-23,3308-07-31,PAID,15626,15726
1500,3308-08-22,3308-08-27,PAID,15627,15727
1500,3308-09-21,3308-10-01,PAID,15628,15728
1000,3308-10-21,,DUE,15629,15729
1000,3308-11-20,3308-11-25,PAID,15630,15730
1000,3308-12-20,,DUE,15631,15731
1200,3309-01-19,,DUE,15632,15732
1500,3309-02-18,3309-02-22,PAID,15633,15733
1200,3309-03-20,,DUE,15634,15734
1000,3309-04-19,,DUE,15635,15735
1000,3309-05-19,3309-05-25,PAID,15636,15736
1500,3309-06-18,,DUE,15637,15737
1500,3309-07-18,3309-07-28,PAID,15638,15738
1000,3309-08-17,3309-08-18,PAID,15639,15739
1000,3309-09-16,,DUE,15640,15740
1500,3309-10-16,3309-10-18,PAID,15641,15741
1500,3309-11-15,,DUE,15642,15742
1000,3309-12-15,3309-12-19,PAID,15643,15743
1000,3310-01-14,3310-01-19,PAID,15644,15744
1200,3310-02-13,,DUE,15645,15745
1200,3310-03-15,,DUE,15646,15746
1500,3310-04-14,,DUE,15647,15747
1200,3310-05-14,3310-05-19,PAID,15648,15748
1500,3310-06-13,,DUE,15649,15749
1500,3310-07-13,3310-07-19,PAID,15650,15750
1500,3310-08-12,3310-08-18,PAID,15651,15751
1200,3310-09-11,,DUE,15652,15752
1200,3310-10-11,,DUE,15653,15753
1200,3310-11-10,,DUE,15654,15754
1000,3310-12-10,3310-12-12,PAID,15655,15755
1500,3311-01-09,3311-01-14,PAID,15656,15756
1500,3311-02-08,,DUE,15657,15757
1500,3311-03-10,,DUE,15658,15758
1500,3311-04-09,3311-04-13,PAID,15659,15759
1500,3311-05-09,,DUE,15660,15760
1500,3311-06-08,3311-06-13,PAID,15661,15761
1000,3311-07-08,3311-07-16,PAID,15662,15762
1500,3311-08-07,3311-08-15,PAID,15663,15763
1200,3311-09-06,3311-09-08,PAID,15664,15764
1500,3311-10-06,,DUE,15665,15765
1500,3311-11-05,3311-11-15,PAID,15666,15766
1000,3311-12-05,3311-12-11,PAID,15667,15767
1200,3312-01-04,,DUE,15668,15768
1500,3312-02-03,3312-02-08,PAID,15669,15769
1200,3312-03-04,,DUE,15670,15770
1000,3312-04-03,,DUE,15671,15771
1200,3312-05-03,3312-05-05,PAID,15672,15772
1200,3312-06-02,,DUE,15673,15773
1000,3312-07-02,,DUE,15674,15774
1200,3312-08-01,,DUE,15675,15775
1200,3312-08-31,,DUE,15676,15776
1200,3312-09-30,,DUE,15677,15777
1000,3312-10-30,3312-11-03,PAID,15678,15778
1000,3312-11-29,3312-12-06,PAID,15679,15779
1200,3312-12-29,,DUE,15680,15780
1000,3313-01-28,3313-02-06,PAID,15681,15781
1000,3313-02-27,3313-03-08,PAID,15682,15782
1000,3313-03-29,3313-04-01,PAID,15683,15783
1000,3313-04-28,,DUE,15684,15784
1200,3313-05-28,,DUE,15685,15785
1000,3313-06-27,3313-07-03,PAID,15686,15786
1000,3313-07-27,,DUE,15687,15787
1000,3313-08-26,3313-08-28,PAID,15688,15788
1500,3313-09-25,3313-10-02,PAID,15689,15789
1500,3313-10-25,,DUE,15690,15790
1500,3313-11-24,3313-11-26,PAID,15691,15791
1200,3313-12-24,3314-01-03,PAID,15692,15792
1200,3314-01-23,3314-01-30,PAID,15693,15793
1200,3314-02-22,3314-03-01,PAID,15694,15794
1200,3314-03-24,3314-04-02,PAID,15695,15795
1500,3314-04-23,,DUE,15696,15796
1000,3314-05-23,,DUE,15697,15797
1000,3314-06-22,3314-07-01,PAID,15698,15798
1500,3314-07-22,3314-07-26,PAID,15699,15799
1000,3314-08-21,,DUE,15700,15800
1500,3314-09-20,3314-09-22,PAID,15701,15801
1200,3314-10-20,3314-10-26,PAID,15702,15802
1000,3314-11-19,3314-11-21,PAID,15703,15803
1500,3314-12-19,,DUE,15704,15804
1500,3315-01-18,3315-01-27,PAID,15705,15805
1000,3315-02-17,3315-02-27,PAID,15706,15806
1200,3315-03-19,,DUE,15707,15807
1500,3315-04-18,3315-04-23,PAID,15708,15808
1500,3315-05-18,,DUE,15709,15809
1000,3315-06-17,3315-06-27,PAID,15710,15810
1200,3315-07-17,3315-07-19,PAID,15711,15811
1200,3315-08-16,,DUE,15712,15812
1200,3315-09-15,3315-09-21,PAID,15713,15813
1200,3315-10-15,3315-10-24,PAID,15714,15814
1200,3315-11-14,3315-11-19,PAID,15715,15815
1200,3315-12-14,3315-12-24,PAID,15716,15816
1200,3316-01-13,3316-01-16,PAID,15717,15817
1200,3316-02-12,,DUE,15718,15818
1000,3316-03-13,,DUE,15719,15819
1500,3316-04-12,,DUE,15720,15820
1500,3316-05-12,3316-05-22,PAID,15721,15821
1000,3316-06-11,3316-06-17,PAID,15722,15822
1200,3316-07-11,,DUE,15723,15823
1000,3316-08-10,3316-08-17,PAID,15724,15824
1500,3316-09-09,,DUE,15725,15825
1200,3316-10-09,,DUE,15726,15826
1200,3316-11-08,,DUE,15727,15827
1500,3316-12-08,,DUE,15728,15828
1500,3317-01-07,3317-01-16,PAID,15729,15829
1200,3317-02-06,3317-02-07,PAID,15730,15830
1200,3317-03-08,,DUE,15731,15831
1000,3317-04-07,,DUE,15732,15832
1000,3317-05-07,3317-05-08,PAID,15733,15833
1200,3317-06-06,,DUE,15734,15834
1200,3317-07-06,,DUE,15735,15835
1200,3317-08-05,,DUE,15736,15836
1000,3317-09-04,3317-09-10,PAID,15737,15837
1200,3317-10-04,3317-10-07,PAID,15738,15838
1000,3317-11-03,,DUE,15739,15839
1200,3317-12-03,,DUE,15740,15840
1500,3318-01-02,,DUE,15741,15841
1200,3318-02-01,3318-02-10,PAID,15742,15842
1000,3318-03-03,,DUE,15743,15843
1200,3318-04-02,3318-04-05,PAID,15744,15844
1000,3318-05-02,,DUE,15745,15845
1000,3318-06-01,,DUE,15746,15846
1500,3318-07-01,,DUE,15747,15847
1200,3318-07-31,3318-08-05,PAID,15748,15848
1500,3318-08-30,,DUE,15749,15849
1000,3318-09-29,,DUE,15750,15850
1500,3318-10-29,3318-10-31,PAID,15751,15851
1000,3318-11-28,3318-12-01,PAID,15752,15852
1000,3318-12-28,,DUE,15753,15853
1500,3319-01-27,3319-01-28,PAID,15754,15854
1200,3319-02-26,,DUE,15755,15855
1500,3319-03-28,3319-03-29,PAID,15756,15856
1200,3319-04-27,3319-05-01,PAID,15757,15857
1000,3319-05-27,3319-05-29,PAID,15758,15858
1500,3319-06-26,,DUE,15759,15859
1200,3319-07-26,,DUE,15760,15860
1000,3319-08-25,3319-08-30,PAID,15761,15861
1200,3319-09-24,,DUE,15762,15862
1500,3319-10-24,,DUE,15763,15863
1500,3319-11-23,,DUE,15764,15864
1500,3319-12-23,3320-01-02,PAID,15765,15865
1000,3320-01-22,3320-01-27,PAID,15766,15866
1000,3320-02-21,3320-03-02,PAID,15767,15867
1000,3320-03-22,3320-03-31,PAID,15768,15868
1200,3320-04-21,,DUE,15769,15869
1200,3320-05-21,,DUE,15770,15870
1200,3320-06-20,3320-06-29,PAID,15771,15871
1200,3320-07-20,,DUE,15772,15872
1000,3320-08-19,3320-08-28,PAID,15773,15873
1500,3320-09-18,3320-09-28,PAID,15774,15874
1500,3320-10-18,3320-10-20,PAID,15775,15875
1500,3320-11-17,,DUE,15776,15876
1500,3320-12-17,3320-12-23,PAID,15777,15877
1200,3321-01-16,,DUE,15778,15878
1000,3321-02-15,,DUE,15779,15879
1000,3321-03-17,,DUE,15780,15880
1200,3321-04-16,3321-04-25,PAID,15781,15881
1200,3321-05-16,,DUE,15782,15882
1000,3321-06-15,,DUE,15783,15883
1000,3321-07-15,3321-07-22,PAID,15784,15884
1200,3321-08-14,,DUE,15785,15885
1500,3321-09-13,3321-09-18,PAID,15786,15886
1500,3321-10-13,3321-10-18,PAID,15787,15887
1500,3321-11-12,,DUE,15788,15888
1500,3321-12-12,,DUE,15789,15889
1200,3322-01-11,3322-01-18,PAID,15790,15890
1000,3322-02-10,3322-02-19,PAID,15791,15891
1500,3322-03-12,3322-03-18,PAID,15792,15892
1200,3322-04-11,,DUE,15793,15893
1200,3322-05-11,3322-05-15,PAID,15794,15894
1000,3322-06-10,,DUE,15795,15895
1200,3322-07-10,,DUE,15796,15896
1200,3322-08-09,3322-08-16,PAID,15797,15897
1000,3322-09-08,,DUE,15798,15898
1000,3322-10-08,3322-10-13,PAID,15799,15899
1500,3322-11-07,3322-11-10,PAID,15800,15900
1200,3322-12-07,,DUE,15801,15901
